시군구,도로명코드,도로명,영문도로명,읍면동일련번호,시도명,시군구명,읍면동구분,읍면동코드,읍면동명,상위도로코드,상위도로명,폐지구분,변경이력사유,변경이력정보,영문시도명,영문시군구명,영문읍면동명,고시일자,말소일자
11710,4169286,성내천로44길,Seongnaecheon-ro 44-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169286,성내천로44길,Seongnaecheon-ro 44-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169287,성내천로46길,Seongnaecheon-ro 46-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169287,성내천로46길,Seongnaecheon-ro 46-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169288,성내천로47길,Seongnaecheon-ro 47-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169288,성내천로47길,Seongnaecheon-ro 47-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169289,성내천로49길,Seongnaecheon-ro 49-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169289,성내천로49길,Seongnaecheon-ro 49-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169290,성내천로51길,Seongnaecheon-ro 51-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169290,성내천로51길,Seongnaecheon-ro 51-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169291,성내천로53길,Seongnaecheon-ro 53-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169291,성내천로53길,Seongnaecheon-ro 53-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169292,성내천로55길,Seongnaecheon-ro 55-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169292,성내천로55길,Seongnaecheon-ro 55-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169293,성내천로57길,Seongnaecheon-ro 57-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169293,성내천로57길,Seongnaecheon-ro 57-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169294,성내천로59길,Seongnaecheon-ro 59-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169294,성내천로59길,Seongnaecheon-ro 59-gil,1,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169295,성내천로63길,Seongnaecheon-ro 63-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169295,성내천로63길,Seongnaecheon-ro 63-gil,1,서울특별시,송파구,1,113.0,거여동,,,0,,,Seoul,Songpa-gu,Geoyeo-dong,20100604.0,
11710,4169295,성내천로63길,Seongnaecheon-ro 63-gil,2,서울특별시,송파구,1,114.0,마천동,,,0,,,Seoul,Songpa-gu,Macheon-dong,20100604.0,
11710,4169296,성내천로6길,Seongnaecheon-ro 6-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20111004.0,
11710,4169296,성내천로6길,Seongnaecheon-ro 6-gil,1,서울특별시,송파구,1,112.0,오금동,,,0,,,Seoul,Songpa-gu,Ogeum-dong,20111004.0,
11710,4169297,성내천로8길,Seongnaecheon-ro 8-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169297,성내천로8길,Seongnaecheon-ro 8-gil,1,서울특별시,송파구,1,112.0,오금동,,,0,,,Seoul,Songpa-gu,Ogeum-dong,20100604.0,
11710,4169298,송이로10길,Songi-ro 10-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169298,송이로10길,Songi-ro 10-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169299,송이로12길,Songi-ro 12-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169299,송이로12길,Songi-ro 12-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169300,송이로14길,Songi-ro 14-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169300,송이로14길,Songi-ro 14-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169301,송이로15길,Songi-ro 15-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169301,송이로15길,Songi-ro 15-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169302,송이로17길,Songi-ro 17-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169302,송이로17길,Songi-ro 17-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
